"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","Proplacená dotace (Kč)","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/033052/2017","Kalendář turistických akcí 2018 Středočeské oblasti KČT","Výstupem projektu bude vydání brožury ""Kalendář turistických akcí 2018 Středočeské oblasti"" (dále jen Kalendář). V kalendáři budou uvedeny turistické akce pořádané všemi odbory Klubu českých turistů Středočeské oblasti (totožné s krajem) a pokud o to požádají i akce jeho partnerů (IC, regionální združení...). Celkem se jedná každoročně zhruba o 80-90 akcí. Vedle vlastní termínové části jsou tradičně v Kalendáři uvedeny komplexní informace o Klubu českých turistů. Jedná se zejména o kompletní kontakty na centrum ústředí i Středočeské oblasti, informace o činnosti KČT, výhodách členů KČT, přihláška do KČT, základní informace o hlavních akcích KČT v celé ČR i na Slovensku. Součástí Kalendáře je i informace o činnosti Středočeské oblasti KČT v předchozím roce a zajímavosti z historie Klubu. V Kalendáři pro rok 2018 bude i kapitola věnovaná oslavám 130. výročí od založení Klubu českých turistů a 100 let od založení samostatného Československého státu., , Kalendář bude vydán ve formátu A5, a jeho náklad bude 3.000 výtisků. Část z nich bude koncem letošního roku předána členům Středočeské oblasti KČT (prostřednictvím odborů), další část bude předána do vybraných IC ve Středočeském kraji a dalším partnerům Středočeské oblasti KČT. Cílem projektu je jako každý rok poskytnout ucelenou informaci o turistických akcích KČT a dalších subjektů cestovního ruchu ve Středních Čechách. Souběžně s tím pak podat čtenářům kalendáře informace o KČT ve Středních Čechách., , Kalendář je určen nejen turistům organizovaným v KČT, ale i ostatní neorganizované turistické veřejnosti, protože všechny uvedené akce jsou přístupné široké turistické veřejnosti. Část akcí je cílena na rodiny s dětmi (trasy vhodné pro kočárky) a na mládež., ","schváleno RK","40000","10000","10000","25"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/032948/2017","Oslava 130. výročí založení SDH Popovice","Sbor dobrovolných hasičů Popovice uspořádá ve spolupráci s obcí Popovice oslavu 130. výročí založení SDH Popovice, která se uskuteční dne 19.8.2017., Program bude zahájen setkáním všech hasičů, občanů a návštěvníků před místním hostincem odkud vyjde slavnostní průvod za doprovodu hudební kapely Sebranka Vlašim. Průvod bude zakončen na fotbalovém hřišti, kde oslavy zahájí svým slavnostním proslovem náměstek starosty SDH Popovice a zároveň uctí památku nedávno zesnulého starosty SDH, který se podílel na přípravě této akce. Poté budou předána ocenění zasloužilým hasičům a čestným hostům. Následně proběhnou v rámci programu oslav ukázky družstev mužů a žen v požárním sportu a na závěr dojde k jejich vyhodnocení. Po celou dobu oslav bude hrát dechová kapela Sebranka Vlašim, bude zajištěno občerstvení a pro děti nafukovací skákací hrad. Veškerou organizaci průběhu oslavy zajistí dobrovolní hasiči z Popovic. Bude třeba nechat vyrobit a vytisknout plakáty a pozvánky, zakoupit plakety a vyznamenání a dále zajistit dostatečné množství elektrické energie pomocí elektrocentrály. , Toto významné výročí, připomínající historii i současnost činnosti dobrovolných hasičů bude příležitostí pro setkání místních obyvatel, hasičů a příznivců požárního sportu.","schváleno RK","30000","28000","28000","93.33333333"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/032807/2017","Zámecké slavnosti 2017","Jedná se o kulturní program pořádaný pro veřejnost na nádvoří zámku v Benátkách nad Jizerou a v jeho předzámčí (zahrada)., 1. část – od 15 do 19 h: program zajištěný a organizovaný agenturou: umělecká vystoupení pěti interpretů (vč. moderátora), historické stánky, dobová řemesla a činnosti, ukázka živého hereckého medvěda Huga. 2. část – od 19 do 24 h: hudební produkce skupiny TOX., ","schváleno RK","300000","200000","150000","66.66666667"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/030628/2017","Čáslavský Čtyřlístek 2017 - celorepubliková nepostupová soutěž","Celorepubliková nepostupová taneční soutěž, Věkové kategorie (průměr) :	, I.  	 	7 – 9 let (do 9,4), II.        	10 – 12 let (do 12,4), III.    	13 – 15 let (do 15,4), IV.    	16 a více let, , Taneční kategorie :		, A) 	Disco dance, Aerobic - dynamický styl tance s podkladem diskotékové hudby, B) 	Modern dance, Jazz dance - choreografie využívající techniky moderního tance a stylu jazz dance, který charakterizuje až extrémní dynamika, tančené pasáže na zemi (převaly, kontrakce, pády atp)., C) 	Show dance - choreografie bez rozdílu taneční techniky využívající rekvizity a kulisy, provedením a náladou vytvářejí show, D) 	Volné (orientální, country, atp.) , E) 	Street dance - choreografie využívající současné trendové taneční styly (hiphop, break, lockin atp.), , Časový harmonogram:, 7,30 - 15,00 hod. prezence týmů , 7,45 - 8,30 hod. prostorové zkoušky, 8,30 hod. slavnostní zahájení soutěže, 19,00 hod. předpokládaný konec soutěže, , Místo konání: hala Bios při VOŠ, SPŠ a OA ČÁSLAV","schváleno RK","90000","30000","30000","33.33333333"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030630/2017","Karnevaly s Domečkem","Uspořádání pěti karnevalů (1 celoměstský +3  na základních školách a 1 na Základní speciální škole ve Vlašimi s odloučeným pracovištěm v Odlochovicích) - připomínání kulturních tradic. Jedná se o akce oblíbené a hojně navštěvované.","schváleno RK","45000","38000","38000","84.44444444"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030632/2017","Malí hasiči - Hurá do akce!","Ve Vlašimi se budou v květnu 2017 konat oslavy 140. výročí založení SDH ve Vlašimi. Na Domečku (Městský dům dětí a mládeže) pracují 3 kroužky hasičů a hasiček, kterých organizujeme 36 dle různých věkových kategorií. Účastní se nejen regionálních, ale i krajských a celostátních soutěží, kde slaví úspěchy. Pořádáme pro ně pravidelná soustředění a tábory, kde pilují své umění. Budou se aktivně účastnit i výše uvedených oslav, kde budou soutěžit v dětských kategoriích. Aby mohli soutěžit všichni potřebují doplnit náčiní, na které MěDDM prostředky nemá v takovém rozsahu, který ""hasičů"" potřebují. Obracíme se tedy na hejtmanku o podporu.","schváleno RK","42000","28000","28000","66.66666667"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/030634/2017","Hokejový turnaj ""O pohár hejtmanky Středočeského kraje"" ročníku 2009 a mladší","Jedná se o hokejový turnaj mládeže ročníku 2009 a mladší, nad kterým převzala záštitu hejtmanka Středočeského kraje Ing. Jaroslava Pokorná Jermanová, pořádaný spolkem HC LEV BENEŠOV, z.s. ve dnech 8.-9.4.2017 na Zimním stadionu v Benešově, kterého se bude účastnit 12 družstev z celé České republiky, např. družstva Dukla Jihlava, Česká Lípa, Louny, Sparta Praha, atd. Pro některá družstva je nutné s ohledem na vzdálenost zajistit ubytování. Samozřejmostí je stravování v průběhu turnaje pro hráče. Při výpočtu nákladů jsou zohledněny pouze náklady pro hráče.","schváleno RK","146000","138000","90000","94.52054795"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2017","FHT/PHT/030636/2017","Mikeš mezi dětmi","Rok 2017 je rokem výročí Josefa Lady, jehož dílo rozsahem i obsahem vyplňuje značnou část „soudku“ české kultury. Přesto se dnešní generace malých dětí daleko častěji setkává s postavičkami z dílny Walta Disneyho, místo aby žasla nad zábavnými kousky chytré kmotry lišky či s kocourkem Mikešem napravovala škodu na rozbitém krajáči. Prostřednictvím edukativně - zábavného programu pro děti a exkurzí do Památníku Josefa Lady v Hrusicích chceme dětem i jejich rodičům oživit dříve tolik oblíbené pohádky a kresby z prostředí českého venkova. Nalezneme v nich zábavu, poučení, plno citlivých příběhů a v neposlední řadě si připomeneme mnoho dětských her i českých venkovských tradic., , I. část projektu: „Na návsi je Mikeš!“ oslava Dne dětí v Hulicích - 3. 6. 2017, Zábavné dětské odpoledne v Hulicích bude celé ve znamení pohádek a kreseb Josefa Lady. Hry a soutěže budou probíhat na místním hřišti a měly by připomenout nejen Ladovy pohádkové zvířecí hrdiny, ale také seznámit malé účastníky se zábavou dětí na přelomu 19. a 20. století, tedy v době Ladova dětství. Pokusíme se o roztáčení káči, tlučení špačků, cvrnkání kuliček, kutálení obruče, závody trakařů apod. Pro rodiče a prarodiče připravíme test znalostí z polozapomenutých dětských kolektivních her, o které jsou naši potomci především díky pokročilým technologiím ochuzeni., Cílem akce je nabídnout dětem zážitek z aktivně prožitého odpoledne a zábavnou i soutěžní formou je seznámit s tradicemi českého venkova. , , II. část projektu: „Putování za zvířátky“ - 17. 6. 2017  , Druhá část projektu spočívá v exkurzi rodičů a dětí z Hulic a okolních obcí do rodiště Josefa Lady. Nejprve navštívíme expozici v hrusickém Památníku Josefa Lady a jeho dcery Aleny, v okolí obce též místa známá z knížek o kocourku Mikešovi (Jedličkovu louži, Bulánku) nebo o hastrmanech (rybník Šmejkalku). V následující části exkurze zavítáme do Farmaparku Soběhrdy, kde lze spatřit zvířata takřka ze všech koutů světa. Děti sice neuvidí mluvícího kocoura, ani kozla či prase na motocyklu, zato však budou mít příležitost rozšířit své znalosti o zvířatech domácích a cizokrajných.  , Cílem celodenní exkurze je završení motivace dětí k četbě Ladových knih, kde hojně vystupují zvířecí hrdinové s jejich takřka lidskými charaktery. Nakolik se jejich pohádkový život liší od života zvířat skutečných, lze posoudit při pobytu na soběhrdském Farmaparku. , ","schváleno RK","22500","20250","20000","90"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2017","FHT/PHT/030637/2017","Czech open Kolín 2017","Čtvrtý ročník mezinárodního turnaje Czech open ve sportovním Ju-Jutsu (bojové umění) v kategoriích mládež, dorost, dospělí a turnaj národních týmů. Turnaj se pořádá pod záštitou Martina Hellera čtyřnásobného Mistra Evropy.","schváleno RK","100808","20000","10000","19.83969526"
"Činnosti nebo aktivity v oblasti kultury","2017","FHT/PHT/030646/2017","Otevírání se společnosti","Výběr akcí kromě ostatních aktivit, kde omladina má možnost se projevit., Jsou to:, Otevírání se společnost, (den otevřených dveří spolku Romano lav), Cílem projektu je ukázat veřejnosti hlubší pohled do života tradiční 	romské rodiny a její soudržnosti, která je a byla vždy na prvním místě. 	Cílem také je seznámit veřejnost s romskou historii, kulturou spojenou s 	hudbou, tancem, zpěvem, oblékáním a vařením tradičních romských jídel 	včetně ochutnávky.  , V neposlední řadě přiblížit šikovnost a zručnost našich předků., Vedle využívání volnočasových  aktivit dětí a mládeže je snaha o vytváření podmínek pro udržování a rozvoj romské kultury a tradic v tělesech spolku, k němuž samozřejmě  hudba, tanec a zpěv patří., Benátecký Střevíc:,   XV. ročník přehlídky romské kultury konané v Benátkách nad Jizerou.                         	V průběhu festivalu se vystřídá každoročně několik dětských 	tanečních souborů,  jako:, soubor z Červeného Kostelce, Bengunale Čáve z Nového Boru, Kale Apsa z České Lípy, Rupune Čhave z Písku, Čercheničky z Kolína, Street Mix - z Benátek n. Jiz. atd., Z kapel vystoupí kapely našeho spolku: Šani Band a Kvintet, Gipsy Dadis  z Kolína, G. Billy z Nymburka, Danč Band z Mělníka, G. Kubo z Mladé Boleslavi, Mirek a Pajko z Ústí n. Lab. jednáme také s kapelou Roma  	Team z Lužianek, SK. Nesmíme zapomenout na oblíbené taneční dvojice, které předvádí různé druhy tanců, od polky, latin. amerických rytmů, po 	tango či čardáš. , Účinkující jsou převážně ze Středočeského kraje, zveme však i z 	jiných krajů a Prahy. Toto jsou soubory, které účast přislíbily, celkem 	kolem 140-150 účinkujících. , Festival je prestižní záležitostí našeho spolku, je podporován dotací od 	Středočeského kraje, města Benátek a v poslední době i Škoda  Auto a.s. 	tento festival podporují a účastní se jej i jejich zástupci., Mikulášská nadílka:, Posezení rodičů s dětmi, přiblížení čara Vánoc, zakončené příchodem Mikuláše, anděla a čerta.   , To je předběžný výčet akcí, kde finanční rozpočet je zpracován hospodárně a práce spojené s organizací akcí a ostatních aktivit, vykonávají členové spolku zdarma.","schváleno RK","102000","45000","10000","44.11764706"
